No.,Fix Asset Name,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year, Total Acquisition value,Category,Disposal date,Year Of Disposal,Amount Deduction
1,Angel Juice extractor Angelia 7500-HO,300009,9PRD,,48,4,1-Apr-14,2014,40320979,Equipment,31-Dec-19,2019,40320979
2,Angel juicer - GCT1,300024,PIM1,,48,4,1-May-14,2014,47080192,Equipment,31-Dec-19,2019,47080192
3,Angel juicer - KKS1,300025,MAX1,,48,4,1-May-14,2014,47080192,Equipment,31-Dec-19,2019,47080192
4,Angel juicer extractor Angelia 7500 - HO,300026,9HOC,,48,4,1-May-14,2014,123199695,Equipment,31-Dec-19,2019,123199695
5,Endercounter Freezer 1 door - Mastercool TUF 27 - GCT1,300034,GCT1,,48,4,1-May-14,2014,9331968,Equipment,31-Dec-19,2019,9331968
6,"Ice Cube Machine w/ ice bin, MANITOWOC model QY0664A+A4005 - GCT1",300038,GCT1,,48,4,1-May-14,2014,40441366,Equipment,31-Dec-19,2019,40441366
7,Undercounter dishwasher electrolux - EUCADDROW - KKS1,300056,9CPF,,48,4,1-Jun-14,2014,36302946,Equipment,31-Dec-19,2019,36302946
8,Undercounter dishwasher electrolux - 400153 (Rotary) - GCT1,300065,GCT1,,48,4,1-May-14,2014,35628033,Equipment,31-Dec-19,2019,35628033
9,Angel Commercial use 20 K - KKS1,300068,9HOC,,48,4,1-Sep-14,2014,98247333,Equipment,31-Dec-19,2019,98247333
10,Angel juicer extractor Angelia 7500 - LOW1,300093,GIN1,,48,4,1-Apr-14,2014,47080192,Equipment,31-Dec-19,2019,47080192
11,Bubble washing machine CPF,300125,CPF,,48,4,1-May-15,2015,325496860,Equipment,30-Jun-18,2018,325496860
12,Dewatering machine CPF,300126,CPF,,48,4,1-May-15,2015,89136430,Equipment,30-Jun-18,2018,89136430
13,Insulation panel chiller Room RM&FG - CPF,300141,CPF,,48,4,1-Apr-15,2015,183976650,Equipment,30-Jun-18,2018,183976650
14,Mesin chiller room Rm&FG - CPF,300142,CPF,,48,4,1-Apr-15,2015,129465050,Equipment,30-Jun-18,2018,129465050
15,Undercounter chiller 2 door mastercool X - 1360x700x860 mm - MAX1,300144,MAX1,,48,4,1-Jun-15,2015,15789224,Equipment,31-Dec-19,2019,15789224
16,Juice bucket 3 gallon w/ spout - CPF,300146,CPF,,48,4,1-Apr-15,2015,1162091,Equipment,30-Jun-18,2018,1162091
17,Gallon bucket - CPF,300147,CPF,,48,4,1-Apr-15,2015,2840783,Equipment,30-Jun-18,2018,2840783
18,MS Belt conveyor (for transfer raw material) - CPF,300152,CPF,,48,4,1-Aug-15,2015,167200000,Equipment,30-Jun-18,2018,167200000
