No.,Nama Aktiva Tetap,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year,Total Acquisision value,Kategori
1,"Zenia Staff Chair - Black, Code : X091445 - CPF1",500005,9CPF,4,48,4,30-Jun-18,2018," 213,400 ",Furniture & Fixture
2,"Zenia Staff Chair - Black, Code : X115821 - CPF1",500006,9CPF,7,48,4,30-Jun-18,2018," 177,770 ",Furniture & Fixture
3,"Zenia Staff Chair - Black #2, Code : X115821 - CPF1",500009,9CPF,8,48,4,30-Jun-18,2018," 118,514 ",Furniture & Fixture
4,"Zenia Staff Chair - Black #3, Code : X115821 - CPF1",500010,9CPF,6,48,4,30-Jun-18,2018," 118,514 ",Furniture & Fixture
5,"Zenia Staff Chair - Black #4, Code : X115821 - CPF1",500011,9CPF,1,48,4,30-Jun-18,2018," 118,514 ",Furniture & Fixture
6,Kursi Kantor CH With Armrest - CWH,500036,9CWH,1,48,4,30-Jun-18,2018," 215,616 ",Furniture & Fixture
7,Packing table - CPF,500038,9CPF,20,48,4,30-Jun-18,2018," 6,196,655 ",Furniture & Fixture
8,"Sieben Staff Desk 1206 Iron Wood (u/s), code: X130311 - CPF",500002,9CPF,2,48,4,30-Jun-18,2018," 1,780,957 ",Furniture & Fixture
9,"Sieben WS 25 1212 Iron Wood, Code: X130594 - CPF",500003,9CPF,6,48,4,30-Jun-18,2018," 4,244,660 ",Furniture & Fixture
10,"Sieben Staff Desk 1206 Iron Wood (u/s), code: X130613 - CPF",500004,9CPF,8,48,4,30-Jun-18,2018," 3,722,170 ",Furniture & Fixture
11,"Kentucky Bar Stool, Code : X066299 - CPF1",500007,9CPF,12,48,4,30-Jun-18,2018," 94,758 ",Furniture & Fixture
12,"Kentucky Bar Stool White #2, Code : X066299 - CPF1",500008,9CPF,8,48,4,30-Jun-18,2018," 94,758 ",Furniture & Fixture
13,"Storage Shelf Flag 4 Shelf, code : KLS 10009890 - CPF1",500012,9CPF,10,48,4,30-Jun-18,2018," 1,855,550 ",Furniture & Fixture
14,"Storage Shelf Flag 5 Shelf #1, code : KLS 291374 - CPF1",500013,9CPF,2,48,4,30-Jun-18,2018," 322,450 ",Furniture & Fixture
15,"Storage Shelf Flag 5 Shelf #2, code : KLS 291374 - CPF1",500014,9CPF,1,48,4,30-Jun-18,2018," 322,450 ",Furniture & Fixture
16,"Storage Shelving step rack IV 8 pintu #1, code : 283646 - CPF 1",500015,9CPF,1,48,4,30-Jun-18,2018," 982,450 ",Furniture & Fixture
17,"Storage Shelving step rack IV 8 pintu #2, code : 283646 - CPF 1",500016,9CPF,2,48,4,30-Jun-18,2018," 982,450 ",Furniture & Fixture
18,Storage Shelving step rack IV 8 pintu #3 code : 283646 - CPF 1,500017,9CPF,2,48,4,30-Jun-18,2018," 982,450 ",Furniture & Fixture
19,"Rak Gantung Grundtal #1, code 601.771.85 - CPF1",500018,9CPF,1,48,4,30-Jun-18,2018," 239,950 ",Furniture & Fixture
20,"Rak Gantung Grundtal #2, code 601.771.85 - CPF1",500019,9CPF,12,48,4,30-Jun-18,2018," 239,950 ",Furniture & Fixture
21,"Rak dinding Algot, code 390.685.22 - CPF1",500020,9CPF,5,48,4,30-Jun-18,2018," 769,990 ",Furniture & Fixture
