,,,,,,,,,,,,,
No.,Fix Asset Name,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year,Total Acquisision value,Category,Disposal date,Year Of Disposal,Amount Deduction
1,Angel Juice extractor Angelia 7500-HO,300009,9PRD,,48,4,Apr-14,2014," 40,320,979 ",Equipment,31-Dec-19,2019," 40,320,979 "
2,Angel juicer - GCT1,300024,PIM1,,48,4,May-14,2014," 47,080,192 ",Equipment,31-Dec-19,2019," 47,080,192 "
3,Angel juicer - KKS1,300025,MAX1,,48,4,May-14,2014," 47,080,192 ",Equipment,31-Dec-19,2019," 47,080,192 "
4,Angel juicer extractor Angelia 7500 - HO,300026,9HOC,,48,4,May-14,2014," 123,199,695 ",Equipment,31-Dec-19,2019," 123,199,695 "
5,Endercounter Freezer 1 door - Mastercool TUF 27 - GCT1,300034,GCT1,,48,4,May-14,2014," 9,331,968 ",Equipment,31-Dec-19,2019," 9,331,968 "
6,"Ice Cube Machine w/ ice bin, MANITOWOC model QY0664A+A4005 - GCT1",300038,GCT1,,48,4,May-14,2014," 40,441,366 ",Equipment,31-Dec-19,2019," 40,441,366 "
7,Undercounter dishwasher electrolux - EUCADDROW - KKS1,300056,9CPF,,48,4,Jun-14,2014," 36,302,946 ",Equipment,31-Dec-19,2019," 36,302,946 "
8,Undercounter dishwasher electrolux - 400153 (Rotary) - GCT1,300065,GCT1,,48,4,May-14,2014," 35,628,033 ",Equipment,31-Dec-19,2019," 35,628,033 "
9,Angel Commercial use 20 K - KKS1,300068,9HOC,,48,4,Sep-14,2014," 98,247,333 ",Equipment,31-Dec-19,2019," 98,247,333 "
10,Angel juicer extractor Angelia 7500 - LOW1,300093,GIN1,,48,4,Apr-14,2014," 47,080,192 ",Equipment,31-Dec-19,2019," 47,080,192 "
11,Bubble washing machine CPF,300125,CPF,,48,4,May-15,2015," 325,496,860 ",Equipment,30-Jun-18,2018," 325,496,860 "
12,Dewatering machine CPF,300126,CPF,,48,4,May-15,2015," 89,136,430 ",Equipment,30-Jun-18,2018," 89,136,430 "
13,Insulation panel chiller Room RM&FG - CPF,300141,CPF,,48,4,Apr-15,2015," 183,976,650 ",Equipment,30-Jun-18,2018," 183,976,650 "
14,Mesin chiller room Rm&FG - CPF,300142,CPF,,48,4,Apr-15,2015," 129,465,050 ",Equipment,30-Jun-18,2018," 129,465,050 "
15,Undercounter chiller 2 door mastercool X - 1360x700x860 mm - MAX1,300144,MAX1,,48,4,Jun-15,2015," 15,789,224 ",Equipment,31-Dec-19,2019," 15,789,224 "
16,Juice bucket 3 gallon w/ spout - CPF,300146,CPF,,48,4,Apr-15,2015," 1,162,091 ",Equipment,30-Jun-18,2018," 1,162,091 "
17,Gallon bucket - CPF,300147,CPF,,48,4,Apr-15,2015," 2,840,783 ",Equipment,30-Jun-18,2018," 2,840,783 "
18,MS Belt conveyor (for transfer raw material) - CPF,300152,CPF,,48,4,Aug-15,2015," 167,200,000 ",Equipment,30-Jun-18,2018," 167,200,000 "
19,MS Belt conveyor (for waste) - CPF,300153,CPF,,48,4,Aug-15,2015," 163,680,000 ",Equipment,30-Jun-18,2018," 163,680,000 "
20,MS Belt conveyor (extension 1000mm) - CPF,300154,CPF,,48,4,Aug-15,2015," 52,800,000 ",Equipment,30-Jun-18,2018," 52,800,000 "
21,Preassembly cylinder & valve - CPF,300155,CPF,,48,4,Jun-15,2015," 21,714,000 ",Equipment,30-Jun-18,2018," 21,714,000 "
22,Angel juicer extractor Angelia 7500 - CPF,300165,CPF,,48,4,Jun-15,2015," 241,787,500 ",Equipment,30-Jun-18,2018," 241,787,500 "
23,"Showcase juice cooler, holic-taiwan, stainlees steel #2, 1200x700x1500 - PPC1",300167,PPC1,,48,4,Aug-15,2015," 61,600,000 ",Equipment,31-Dec-19,2019," 61,600,000 "
24,Laptop acer corporate lightweight TMP645 i5 - CPF,300168,CPF,,48,4,Jul-15,2015," 13,970,000 ",Equipment,30-Jun-18,2018," 13,970,000 "
25,Water tank collecting double jacket (200lt) #1 - CPF,300169,CPF,,48,4,Sep-15,2015," 67,194,160 ",Equipment,30-Jun-18,2018," 67,194,160 "
26,Water tank collecting double jacket (200lt) #2- CPF,300170,CPF,,48,4,Sep-15,2015," 67,194,160 ",Equipment,30-Jun-18,2018," 67,194,160 "
